Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,Combined Force,,,Combined Moment,,,Combined CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
254,6,-0.2711,-4.20883,-720.561,10336.9,9779.87,-185.567,245.573,239.654,0,-0.2711,-4.20883,-720.561,-172799,178426,-1101.74,245.573,239.654,0
254,7,-0.274841,-4.41657,-720.186,10505.4,9750.03,-185.847,245.538,239.413,0,-0.274841,-4.41657,-720.186,-172544,178309,-1149.68,245.538,239.413,0
254,8,-0.275486,-4.58783,-717.562,10548.2,9599.43,-185.774,245.378,239.3,0,-0.275486,-4.58783,-717.562,-171843,177544,-1189.53,245.378,239.3,0
254,9,-0.274768,-4.33487,-705.088,10700.3,9477.97,-181.11,245.442,238.824,0,-0.274768,-4.33487,-705.088,-168512,174503,-1125.84,245.442,238.824,0
255,0,-0.308198,-4.43428,-721.14,12837.2,9588.3,-181.003,245.296,236.199,0,-0.308198,-4.43428,-721.14,-170455,178372,-1140.51,245.296,236.199,0
255,1,-0.28213,-4.54967,-721.648,10850.9,9904.34,-185.782,245.725,238.964,0,-0.28213,-4.54967,-721.648,-172576,178806,-1178.92,245.725,238.964,0
255,2,-0.283117,-4.98528,-720.569,10923.7,9494.28,-187.296,245.176,238.84,0,-0.283117,-4.98528,-720.569,-172248,178143,-1282.13,245.176,238.84,0
255,3,-0.283866,-4.8061,-721.026,11089.6,9439.5,-186.463,245.092,238.62,0,-0.283866,-4.8061,-721.026,-172190,178195,-1239.17,245.092,238.62,0
255,4,-0.283468,-5.00596,-721.159,10997,9379.86,-187.49,245.007,238.751,0,-0.283468,-5.00596,-721.159,-172326,178167,-1287.07,245.007,238.751,0
255,5,-0.281935,-5.00671,-721.179,11217.6,8763.52,-187.643,244.152,238.446,0,-0.281935,-5.00671,-721.179,-172110,177555,-1287.79,244.152,238.446,0
