Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
10,3,-0.524911,-2.47082,-706.662,9037.03,46465.9,-139.688,297.754,241.212,0
10,4,-0.526906,-2.62032,-711.197,9097,46461,-141.377,297.328,241.209,0
10,5,-0.528362,-2.78696,-711.286,9099.55,46489.5,-141.961,297.36,241.207,0
10,6,-0.527457,-2.62001,-711.151,9129.71,46470.1,-141.278,297.345,241.162,0
10,7,-0.525507,-2.34488,-712.075,9113.54,46501.6,-140.562,297.304,241.201,0
10,8,-0.527654,-2.57642,-711.611,9150.43,46495.2,-141.179,297.338,241.141,0
10,9,-0.526705,-2.53404,-712.667,9105.74,46494.9,-141.43,297.241,241.223,0
11,0,-0.526831,-2.55484,-712.023,9118.6,46468.9,-141.32,297.263,241.193,0
11,1,-0.528518,-2.59984,-712.299,9173.16,46539.9,-141.359,297.338,241.122,0
11,2,-0.529907,-2.84276,-711.972,9167.45,46506.2,-142.182,297.32,241.124,0
11,3,-0.529045,-2.73317,-711.977,9130.35,46566.8,-141.813,297.405,241.176,0
11,4,-0.529102,-2.65477,-711.657,9170.91,46570,-141.346,297.439,241.113,0
11,5,-0.527301,-2.47694,-712.436,9191.89,46461,-140.999,297.214,241.098,0
11,6,-0.528895,-2.57542,-712.294,9262.31,46441.6,-141.169,297.2,240.997,0
11,7,-0.529492,-2.78662,-712.474,9206.81,46428.7,-142.115,297.166,241.078,0
11,8,-0.530006,-2.7633,-712.152,9258.99,46417.9,-141.832,297.18,240.999,0
11,9,-0.529983,-2.66353,-712.109,9291.29,46445.5,-141.361,297.223,240.952,0
12,0,-0.529248,-2.56444,-712.341,9281.55,46460.4,-141.079,297.222,240.97,0
12,1,-0.529817,-2.80887,-712.565,9215.25,46433.8,-142.196,297.164,241.068,0
12,2,-0.529783,-2.55339,-712.981,9333.35,46439.5,-141.125,297.134,240.909,0
12,3,-0.534042,-2.65598,-711.27,9663.8,46268.4,-140.428,297.05,240.413,0
12,4,-0.56144,-2.76336,-713.528,11396.4,46393.7,-137.345,297.02,238.028,0
12,5,-0.534122,-3.09658,-713.062,9348.21,46468.3,-143.022,297.167,240.89,0
12,6,-0.532329,-2.78609,-713.159,9379.81,46463.6,-141.874,297.152,240.848,0
12,7,-0.530716,-2.64216,-712.751,9334.47,46476,-141.335,297.206,240.904,0
12,8,-0.531382,-2.65288,-713.344,9394.59,46436.3,-141.446,297.097,240.83,0
12,9,-0.531794,-2.78679,-713.481,9347.14,46455.7,-142.051,297.111,240.899,0
13,0,-0.532657,-2.86433,-713.754,9371.92,46447.5,-142.357,297.075,240.87,0
13,1,-0.531838,-2.75385,-713.894,9367.24,46452.7,-142.008,297.069,240.879,0
13,2,-0.534469,-2.94027,-712.88,9443.4,46476.5,-142.186,297.195,240.753,0
13,3,-0.530541,-2.77425,-712.837,9309.79,46378.6,-141.991,297.062,240.94,0
13,4,-0.532443,-2.75507,-714.08,9367.64,46528.1,-141.985,297.158,240.882,0
13,5,-0.533308,-2.77767,-714.263,9394.94,46566.1,-142.015,297.195,240.847,0
13,6,-0.530806,-2.55395,-714.491,9422.07,46398.8,-141.395,296.94,240.813,0
13,7,-0.532783,-2.94181,-714.254,9373.13,46389,-142.835,296.947,240.877,0
